reviewId,providerId,providerName,type,region,rule,target,status,sourceUrl,evidenceSummary,suggestedDecision,correctedFields
source-fit-capture:hawkes-bay-crisp-counselling:weak-telehealth-evidence:telehealth,hawkes-bay-crisp-counselling,CRISP Counselling,counsellor,Hawke's Bay,weak-telehealth-evidence,telehealth,needs_human_browser_review,https://www.crispcounselling.com/,,needs_more_info,{}
source-fit-capture:hawkes-bay-lynda-chisholm-counselling:weak-telehealth-evidence:telehealth,hawkes-bay-lynda-chisholm-counselling,Lynda Chisholm Counselling,counsellor,Hawke's Bay,weak-telehealth-evidence,telehealth,needs_human_browser_review,https://lyndachisholm.nz/napier-counselling/,,needs_more_info,{}
source-fit-capture:hawkes-bay-talking-cure:broad-tag-without-source-support:depression,hawkes-bay-talking-cure,Talking Cure,counsellor,Hawke's Bay,broad-tag-without-source-support,depression,needs_human_browser_review,https://www.talktherapy.co.nz/contact,,needs_more_info,{}
source-fit-capture:hawkes-bay-talking-cure:broad-tag-without-source-support:anxiety,hawkes-bay-talking-cure,Talking Cure,counsellor,Hawke's Bay,broad-tag-without-source-support,anxiety,needs_human_browser_review,https://www.talktherapy.co.nz/contact,,needs_more_info,{}
source-fit-capture:hawkes-bay-talking-cure:broad-tag-without-source-support:trauma,hawkes-bay-talking-cure,Talking Cure,counsellor,Hawke's Bay,broad-tag-without-source-support,trauma,needs_human_browser_review,https://www.talktherapy.co.nz/contact,,needs_more_info,{}
source-fit-capture:hawkes-bay-whakiao-taurima-counselling:weak-maori-evidence:maori,hawkes-bay-whakiao-taurima-counselling,Whakiao Taurima Counselling,counsellor,Hawke's Bay,weak-maori-evidence,maori,needs_human_browser_review,https://wtcounselling.com/2025/04/23/whakiao-taurima-counselling-limited/,,needs_more_info,{}
source-fit-capture:manawatu-authentically-u:broad-tag-without-source-support:depression,manawatu-authentically-u,Authentically U,counsellor,Manawatu-Whanganui,broad-tag-without-source-support,depression,needs_human_browser_review,https://www.authenticallyu.co.nz/,,needs_more_info,{}
source-fit-capture:manawatu-cenpsyx-palmerston-north:broad-tag-without-source-support:depression,manawatu-cenpsyx-palmerston-north,CenPsyX,psychologist,Manawatu-Whanganui,broad-tag-without-source-support,depression,source_skipped,https://www.cenpsyx.co.nz/,,needs_more_info,{}
source-fit-capture:manawatu-cenpsyx-palmerston-north:broad-tag-without-source-support:anxiety,manawatu-cenpsyx-palmerston-north,CenPsyX,psychologist,Manawatu-Whanganui,broad-tag-without-source-support,anxiety,source_skipped,https://www.cenpsyx.co.nz/,,needs_more_info,{}
source-fit-capture:manawatu-mana-o-te-tangata-peer-support:weak-telehealth-evidence:telehealth,manawatu-mana-o-te-tangata-peer-support,Mana o te Tangata Trust,public-service,Manawatu-Whanganui,weak-telehealth-evidence,telehealth,safe_removal_candidate,https://www.platform.org.nz/members/our-members/view/mana-o-te-tangata,,review-gated adjust: remove unsupported matching tag/flags,"{""phoneSupport"":false}"
source-fit-capture:manawatu-massey-palmerston-north-psychology-clinic:broad-tag-without-source-support:depression,manawatu-massey-palmerston-north-psychology-clinic,Palmerston North Psychology Clinic - Massey University,psychologist,Manawatu-Whanganui,broad-tag-without-source-support,depression,source_support_found,https://www.massey.ac.nz/about/clinics-and-services-for-the-public/massey-psychology-clinics/palmerston-north-manawat%C5%AB-psychology-clinic-massey-university/,"to ensure our staff have the necessary expertise for your needs. Referrals cannot be made to individual clinicians. Referrals typically seen by the team include anxiety, depression",needs human confirmation: add source evidence or leave current tag with review note,{}
source-fit-capture:manawatu-massey-palmerston-north-psychology-clinic:broad-tag-without-source-support:anxiety,manawatu-massey-palmerston-north-psychology-clinic,Palmerston North Psychology Clinic - Massey University,psychologist,Manawatu-Whanganui,broad-tag-without-source-support,anxiety,source_support_found,https://www.massey.ac.nz/about/clinics-and-services-for-the-public/massey-psychology-clinics/palmerston-north-manawat%C5%AB-psychology-clinic-massey-university/,"triaged to ensure our staff have the necessary expertise for your needs. Referrals cannot be made to individual clinicians. Referrals typically seen by the team include anxiety, de",needs human confirmation: add source evidence or leave current tag with review note,{}
source-fit-capture:manawatu-palmerston-north-community-mental-health:weak-telehealth-evidence:telehealth,manawatu-palmerston-north-community-mental-health,Palmerston North Community Mental Health,public-service,Manawatu-Whanganui,weak-telehealth-evidence,telehealth,safe_removal_candidate,https://www.healthpoint.co.nz/mental-health-addictions/mental-health/palmerston-north-community-mental-health/at/palmerston-north-hospital-50-ruahine-street/,,review-gated adjust: remove unsupported matching tag/flags,"{""phoneSupport"":false}"
source-fit-capture:manawatu-pnmss-counselling:broad-tag-without-source-support:depression,manawatu-pnmss-counselling,Palmerston North Methodist Social Services Counselling,counsellor,Manawatu-Whanganui,broad-tag-without-source-support,depression,safe_removal_candidate,https://pnmss.nz/services/counselling,,review-gated adjust: remove unsupported matching tag/flags,"{""tags"":[""counsellor"",""therapy"",""family"",""child"",""youth"",""relationships"",""anxiety"",""cost"",""fit"",""direct-contact""]}"
source-fit-capture:manawatu-pnmss-counselling:broad-tag-without-source-support:anxiety,manawatu-pnmss-counselling,Palmerston North Methodist Social Services Counselling,counsellor,Manawatu-Whanganui,broad-tag-without-source-support,anxiety,source_support_found,https://pnmss.nz/services/counselling,"member/friend, loss of goals/job/lifestyles, grief issues for children; Family, including family therapy/healing, parenting, how to relate better as a family; Stress and anxiety, i",needs human confirmation: add source evidence or leave current tag with review note,{}
source-fit-capture:manawatu-pnmss-counselling:weak-telehealth-evidence:telehealth,manawatu-pnmss-counselling,Palmerston North Methodist Social Services Counselling,counsellor,Manawatu-Whanganui,weak-telehealth-evidence,telehealth,safe_removal_candidate,https://pnmss.nz/services/counselling,,review-gated adjust: remove unsupported matching tag/flags,"{""phoneSupport"":false}"
source-fit-capture:manawatu-reach-out-counselling:broad-tag-without-source-support:depression,manawatu-reach-out-counselling,Reachout Counselling,counsellor,Manawatu-Whanganui,broad-tag-without-source-support,depression,needs_human_browser_review,https://www.reachoutcounselling.com/,,needs_more_info,{}
